ISBN,title,author,,,,,
1565,JRuby Cookbook,Justin Edelson,,,,,
1450,Domain-Driven Design, Eric Evans,,,,,
1880,Domain-Driven Design, Eric Evans,,,,,
1622,MCAD Developing and Implementing Web Applications with Microsoft Visual C# .NET and Microsoft Visual Studio  .NET Exam Cram 2 (Exam Cram 70-315), Priti Kalani,,,,,
1291,Special Edition Using Macromedia Director MX, Gary Rosenzweig,,,,,
1596,Administering IIS4, Mitch Tulloch,,,,,
1443,Matrix computations, Gene H. Golub,,,,,
1455,Agile testing, Lisa Crispin,,,,,
1306,Oracle Database 10g, Kevin Loney,,,,,
1961,The Hunger Games, Suzanne Collins,,,,,
1421,Succeeding with agile, Mike Cohn,,,,,
1932,The art of game design, Jesse Schell,,,,,
1600,Applied Microsoft .NET Framework Programming, Jeffrey Richter,,,,,
1407,Schaum's Outline of UML (Schaum's Outlines)," Simon Bennett,  John Skelton,  Ken Lunn",,,,,
1874,REST in Practice,"Jim Webber, Savas Parastatidis, Ian Robinson",,,,,
1833,The C Programming Language,"Brian W Kernighan, Dennis M Ritchie",,,,,
1767,Programming WCF Services,Juval Lowy,,,,,
1748,Microsoft Silverlight 4 Data and Services Cookbook,Gill Cleeren,,,,,
1802,Professional Enterprise .NET,Microsoft,,,,,
1758,Pro Silverlight 3 in C#,Matthew MacDonald,,,,,
1801,Never Eat Alone," Keith Ferrazzi,  Tahl Raz",,,,,
1506,Shades of grey,Jasper Fforde,,,,,
1460,Cloud Computing Explained,John Rhoton,,,,,
1763,Professional ASP.NET MVC 1.0,Microsoft,,,,,
1515,New Programmer's Survival Manual,Josh Carter,,,,,
1670,Professional ATL COM programming., Richard Grimes,,,,,
1394,Peopleware, Tom DeMarco,,,,,
1410,Waltzing With Bears," Tom DeMarco,  Timothy Lister",,,,,
1805,Scrumban,Corey Ladas,,,,,
1813,C# in depth, Jon Skeet,,,,,
1288,JavaScript, David Flanagan,,,,,
1865,Javascript Web Applications,Alex MacCaw,,,,,
1473,RESTful Web Services,"Leonard Richardson, Sam Ruby",,,,,
1585,Agile web development with rails, Sam Ruby,,,,,
1542,The PHP Anthology, Harry Fuecks,,,,,
1831,Real-World Functional Programming,"Tomas Petricek, Jon Skeet",,,,,
1919,Spring in action, Craig Walls,,,,,
1499,Life and Fate, Vasiliĭ Semenovich Grossman,,,,,
1648,"Microsoft Outlook Programming, Jumpstart for Administrators, Developers, and Power Users", Sue Mosher,,,,,
1303,Developing Time-Oriented Database Applications in SQL (Morgan Kaufmann Series in Data Management Systems)," Richard T. Snodgrass,  Christian S. Jensen",,,,,
1550,UNIX System Programming  for System VR4, Dave Curry,,,,,
1553,UNIX System Programming  for System VR4, Dave Curry,,,,,
1715,Windows NT TCP/IP network administration, Craig Hunt,,,,,
1343,Java foundation classes in a nutshell, David Flanagan,,,,,
1846,VB Shell Programming (Visual Basic), J.P. Hamilton,,,,,
1574,Programming the Perl DBI, Alligator Descartes,,,,,
1623,Developing ASP components, Shelley Powers,,,,,
1601,ASP in a Nutshell, Keyton Weissinger,,,,,
1827,Conquering carpal tunnel syndrome and other repetitive strain injuries, Sharon J. Butler,,,,,
1633,Inside MAPI, Irving De la Cruz,,,,,
1632,Inside COM, Dale Rogerson,,,,,
1427,The One Minute Manager," Kenneth H. Blanchard,  Spencer Johnson",,,,,
1406,The Referral of a Lifetime," Tim Templeton,  Lynda Rutledge Stephenson",,,,,
1334,"Graphic Java 2, Volume 2",David Geary,,,,,
1703,The definitive guide to Windows Installer, Phil Wilson,,,,,
1465,Holub on Patterns, Allen Holub,,,,,
1453,The Best Software Writing I, Joel Spolsky,,,,,
1333,Foundations of AOP for J2EE Development (Foundation)," Renaud Pawlak,  Jean-Philippe Retaillé,  Lionel Seinturier",,,,,
1304,Expert Oracle Database Architecture, Thomas Kyte,,,,,
1309,"The Definitive Guide to MySQL 5, Third Edition (Definitive Guide)",Michael Kofler,,,,,
1310,Beginning PHP and MySQL 5, W. Jason Gilmore,,,,,
1332,Expert Spring MVC and Web Flow (Expert)," Seth Ladd,  Darren Davison,  Steven Devijver,  Colin Yates",,,,,
1526,Pro PHP XML and Web Services (Pro), Robert Richards,,,,,
1357,Pro EJB 3," Mike Keith,  Merrick Schincariol",,,,,
1414,Blue Ocean Strategy," W. Chan Kim,  Renée Mauborgne",,,,,
1832,Object-Oriented PHP, Peter Lavin,,,,,
1548,"Unix Network Programming, Vol. 1"," W. Richard Stevens,  Bill Fenner,  Andrew M. Rudoff,  Richard W. Stevens",,,,,
1413,Agile estimating and planning, Mike Cohn,,,,,
1925,Crossing the Chasm, Geoffrey A. Moore,,,,,
1384,Dealing with Darwin, Geoffrey A Moore         ,,,,,
1405,The One Minute Manager Meets the Monkey (One Minute Manager), Kenneth H. Blanchard,,,,,
1710,Visual Basic 6 how to program, Harvey M. Deitel,,,,,
1604,Beginning ATL 3 COM programming, Richard Grimes,,,,,
1674,Professional SQL Server 7.0 Programming, Rob Vieira,,,,,
1664,Outlook 2000 VBA Programmers Reference, Dwayne Gifford,,,,,
1597,ADO 2.1 programmer's reference, David Sussman,,,,,
1356,Professional Java Server Programming," Sing Li,  Paul Houle,  Mark Wilcox,  Ron Phillips,  Piroz Mohseni,  Stefan Zeiger,  Hans Bergsten,  Matthew Ferris,  Jason Diamond,  Mike Bogovich,  Marc Fleury,  Krishna Vedati,  Ari Halberstadt,  Andrew Patzer",,,,,
1528,Professional XSL,v,,,,,
1353,Professional JSP 2nd Edition," Simon Brown,  Robert Burdick,  Jayson Falkner,  Ben Galbraith,  Rod Johnson,  Larry Kim,  Casey Kochmer,  Thor Kristmundsson,  Sing Li",,,,,
1423,The Art of Innovation, Thomas Kelley,,,,,
1609,Code Centric, Garth Wells,,,,,
1322,Bitter Java, Bruce Tate,,,,,
1379,Struts in Action," Ted Husted,  Cedric Dumoulin,  George Franciscus,  David Winterfeldt,  Craig R. McClanahan",,,,,
1625,Dr. Tom Shinder's Configuring ISA Server 2004," Thomas W. Shinder,  Martin Grasdal",,,,,
1636,Dr. Tom Shinder's ISA Server and Beyond," Thomas W. Shinder,  Martin Grasdal,  Debra Littlejohn Shinder",,,,,
1931,Theory of Fun for Game Design, Raph Koster,,,,,
1337,Hibernate in action,Christian. Bauer,,,,,
1369,Groovy in Action," Dierk Koenig,  Andrew Glover,  Paul King,  Guillaume Laforge,  Jon Skeet",,,,,
1281,Adobe Photoshop CS4 - Classroom in a book,,,,,,
1295,Classroom in a Book: The official training workbook from Adobe Systems,,,,,,
1312,Inside Microsoft SQL Server 2008: T-SQL Querying,Itzik Ben-Gan,,,,,
1348,Java Server Programming ,David Flanagan,,,,,
1370,Java How to Program,,,,,,
1374,Programming Groovy,Venkat Subramaniam,,,,,
1408,UML for Systems Engineering: watching the wheels,Jon Holt,,,,,
1430,The Truth About Power,,,,,,
1491,Guide - Across Asia on the cheap,,,,,,
1493,Guide - Dublin,,,,,,
1494,Guide - Greek Islands,,,,,,
1495,Guide - Istanbul,,,,,,
1497,Guide - Melbourne,,,,,,
1498,Guide - Provence & the Cote d'Azur - The Rough Guide,Kate Baillie,,,,,
1500,Master atlas of Greater London,,,,,,
1505,Oxford Dictionary,,,,,,
1513,Mini LondonA-Z,,,,,,
1514,No-Limit Texas Hold'Em For Winners,"Andrea Shavik, Dan Shavik",,,,,
1519,Don't Panic - Mobile Developers Guide to the Galaxy,,,,,,
1556,Visual C++6 Programming,Richard Grimes,,,,,
1607,Building Applications with Microsoft Outlook 98,,,,,,
1615,Designing and Developing ASP.NET Applications Using the Microscoft . NET Framework 3.5 Lab Manual,,,,,,
